,first,second,third
0,2,3,1
1,1,3,2
2,1,3,2
3,2,3,1
4,3,2,1
5,2,1,3
6,2,1,3
7,1,3,2
8,2,3,1
9,3,1,2
10,2,3,1
11,3,1,2
12,3,2,1
13,3,1,2
14,2,1,3
15,1,2,3
16,3,2,1
17,3,1,2
18,2,3,1
19,2,3,1
20,2,3,1
21,1,2,3
22,3,2,1
23,1,3,2
24,2,3,1
25,2,3,1
26,3,1,2
27,2,3,1
28,3,1,2
29,2,3,1
30,2,1,3
31,3,2,1
32,3,1,2
33,1,2,3
34,2,3,1
35,2,1,3
36,3,1,2
37,2,1,3
38,2,1,3
39,1,3,2
40,1,3,2
41,2,1,3
42,3,1,2
43,2,3,1
44,1,2,3
45,3,1,2
46,3,2,1
47,2,3,1
48,3,2,1
49,2,3,1
50,1,2,3
51,2,3,1
52,2,3,1
53,1,3,2
54,1,2,3
55,2,1,3
56,1,3,2
57,1,2,3
58,1,3,2
59,1,3,2
60,1,3,2
61,3,2,1
62,1,3,2
63,3,1,2
64,1,2,3
65,1,3,2
66,1,3,2
67,2,3,1
68,1,3,2
69,2,3,1
70,3,1,2
71,1,3,2
72,3,1,2
73,2,1,3
74,2,3,1
75,1,3,2
76,2,3,1
77,2,3,1
78,3,1,2
79,2,1,3
80,1,3,2
81,1,2,3
82,3,1,2
83,2,3,1
84,1,3,2
85,1,2,3
86,2,3,1
87,2,3,1
88,2,1,3
89,2,1,3
90,1,3,2
91,1,2,3
92,1,2,3
93,1,2,3
94,1,2,3
95,1,2,3
96,1,3,2
97,1,3,2
98,3,1,2
99,3,2,1
100,3,1,2
101,2,1,3
102,1,3,2
103,1,2,3
104,1,2,3
105,3,1,2
106,2,1,3
107,1,2,3
108,1,3,2
109,1,2,3
110,2,1,3
111,3,1,2
112,3,2,1
113,1,3,2
114,2,1,3
115,3,2,1
116,2,1,3
117,1,3,2
118,2,3,1
119,1,3,2
120,3,1,2
121,2,1,3
122,3,1,2
123,2,3,1
124,3,2,1
125,3,2,1
126,3,1,2
127,1,2,3
128,2,3,1
129,3,1,2
130,1,2,3
131,1,2,3
132,1,2,3
133,3,1,2
134,2,3,1
135,1,3,2
136,1,3,2
137,3,1,2
138,1,2,3
139,3,1,2
140,3,1,2
141,3,1,2
142,1,3,2
143,2,1,3
144,1,2,3
145,1,2,3
146,1,2,3
147,1,3,2
148,2,3,1
149,3,2,1
150,1,3,2
151,3,2,1
152,2,3,1
153,1,3,2
154,3,1,2
155,2,1,3
156,1,2,3
157,3,2,1
158,3,2,1
159,3,2,1
160,2,3,1
161,3,1,2
162,2,1,3
163,2,1,3
164,2,1,3
165,2,3,1
166,1,3,2
167,3,2,1
168,2,3,1
169,3,1,2
170,2,1,3
171,3,2,1
172,1,2,3
173,2,3,1
174,1,3,2
175,1,2,3
176,1,2,3
177,3,2,1
178,3,2,1
179,3,2,1
180,3,1,2
181,2,3,1
182,1,2,3
183,2,1,3
184,1,3,2
185,1,2,3
186,3,1,2
187,2,3,1
188,1,2,3
189,3,2,1
190,1,3,2
191,2,1,3
192,3,2,1
193,3,1,2
194,3,2,1
195,1,2,3
196,3,1,2
197,1,2,3
198,1,3,2
199,3,1,2
200,2,3,1
201,1,2,3
202,2,1,3
203,3,2,1
204,1,3,2
205,1,2,3
206,3,1,2
207,2,1,3
208,2,3,1
209,1,2,3
210,1,2,3
211,1,2,3
212,1,3,2
213,2,1,3
214,1,2,3
215,2,1,3
216,2,3,1
217,3,2,1
218,1,2,3
219,1,3,2
220,3,1,2
221,1,3,2
222,3,1,2
223,2,3,1
224,1,2,3
225,3,2,1
226,1,3,2
227,3,1,2
228,3,1,2
229,1,2,3
230,1,2,3
231,1,3,2
232,2,1,3
233,1,2,3
234,2,3,1
235,3,1,2
236,2,3,1
237,2,3,1
238,3,1,2
239,1,3,2
240,3,2,1
241,1,3,2
242,1,3,2
243,1,3,2
244,1,3,2
245,3,1,2
246,2,3,1
247,2,3,1
248,2,1,3
249,2,3,1
250,3,1,2
251,2,3,1
252,1,2,3
253,1,3,2
254,2,1,3
255,3,2,1
256,1,3,2
257,2,1,3
258,2,1,3
259,1,3,2
260,3,2,1
261,2,3,1
262,3,1,2
263,2,1,3
264,1,2,3
265,3,2,1
266,3,1,2
267,2,3,1
268,1,2,3
269,2,1,3
270,3,1,2
271,1,2,3
272,3,2,1
273,1,2,3
274,3,1,2
275,1,2,3
276,1,2,3
277,3,2,1
278,3,2,1
279,2,1,3
280,2,3,1
281,1,3,2
282,2,3,1
283,1,3,2
284,3,2,1
285,1,3,2
286,2,3,1
287,2,1,3
288,1,2,3
289,1,3,2
290,2,1,3
291,3,1,2
